|Country|Channel Name|Category|Main Video Category|username|followers|Main topic|More topics|Likes|Boost Index|Engagement Rate|Engagement Rate 60days|Views|Views Avg.|Avg. 1 Day|Avg. 3 Day|Avg. 7 Day|Avg. 14 Day|Avg. 30 day|Avg. 60 day|Comments Avg|Youtube Link
606|US|Little Angel: Nursery Rhymes & Kids Songs|Gaming & Apps|Film & Animation|Little Angel: Nursery Rhymes & Kids Songs|27400000|Movies|Music,Movies,Entertainment|78794486.29280397|38|0.6110859473281061|0.0763895960697697|19886812585|18520854.1|30474.0|156583.5|411448.75|501290.1428571429|784248.8666666667|2015581.923076923|0.7816377171215881|UCNzsYU0aWwjERj-9Y9HUEng
600|US|Talking Tom||Comedy|Talking Tom|27800000|Movies|Movies,TV shows,Entertainment|28574803.58108108|69|0.7500483351603898|0.0232344814113456|13777477487|13019389.0||||1235582.0|568718.4|580975.0652173914|148.04504504504504|UCm3hAp1m1xlAz0ve_EKAo4g
599|US|Peppa Pig - Official Channel|Gaming & Apps|Film & Animation|Peppa Pig - Official Channel|27800000|Entertainment|Entertainment,Movies|36324747.80990099|64|0.1991179632208403|0.0545146675187037|20700474741|6448373.825|28727.0|177857.75|404734.375|736606.4|1054889.0|1497234.31147541|1.4396039603960396|UCAOtE1V7Ots4DjM8JLlrYgg
598|US|MrBeast Gaming||Strategy video game|MrBeast Gaming|27800000|Strategy video game|Gaming,Action game,Role-playing video game,Action-adventure game,Strategy video game|95375135.94573644|71|0.9556747728159968|0.4895957523283699|4744307587|35412960.5|||6828453.0|6828453.0|10186832.5|12828550.666666666|54156.77519379845|UCIPPMRA040LQr5QPyJEbmXA
127|US|BRIGHT SIDE|Science & Tech|Howto & Style|BRIGHT SIDE|43700000|Lifestyle|Entertainment,Lifestyle,Movies|36932146.776236586|68|0.0114371937629994|0.0022514362128582|9969944772|395681.02124505927|31853.0|50485.57142857143|50726.31578947369|53092.58536585366|64779.45555555556|89134.58192090396|950.0900287882752|UC4rlAVgAK0SGk-yTfe48Qpw
594|US|ImagineDragons||Music|ImagineDragons|28300000|Pop music|Independent music,Music,Rock music,Pop music|2304173.25|38|0.4661513269813225|0.0058496592629984|14094435442|1194245.0|||102406.5|125597.0|127762.0|127762.0|1209.178571428571|UCT9zcQNlyht7fRlcjmflRSA
130|US|Katy Perry|Gaming & Apps|Music|Katy Perry|43000000|Music|Music,Pop music|5322828.25862069|57|0.0328029647153167|0.0036615314755412|23815643998|1049132.0||||||109411.25|2540.344827586207|UCYvmuw-JtVrTZQ-7Y4kd63Q
588|US|Maluma||Music|Maluma|28600000|Hip hop music|Music,Hip hop music,Music of Latin America,Pop music|3656173.333333333|57|0.8219122286972286|0.0065971509971509|19474056278|10280274.5|0.0|0.0|0.0|0.0|0.0|0.0|5869.851851851852|UClZuKq2m0Qu-HkopkSBLpEw
587|US|BabyBus - Kids Songs and Cartoons|Gaming & Apps|Education|BabyBus - Kids Songs and Cartoons|29000000|Entertainment|Music,Movies,Entertainment|39616801.42718447|39|0.1972615784818319|0.0781116656654263|23518466796|7210520.791666666|13621.0|13621.0|955081.0|749431.8571428572|1088000.625|2235514.3529411764|12.949838187702266|UCpYye8D5fFMUPf9nSfgd4bA
134|US|Like Nastya Show||Entertainment|Like Nastya Show|41300000|Lifestyle|Music,Lifestyle,Hobby|39269151.59533074|80|0.3795535108958838|0.0080667858320535|18673777146|15267910.666666666||17459.0|233881.0|144042.0|164313.6923076923|266031.5|0.0|UCS94J1s6-qc8v7btCdS2pNg
